zip_code,population
ZCTA5 99756,80
ZCTA5 99757,20
ZCTA5 99758,223
ZCTA5 99759,273
ZCTA5 99760,622
ZCTA5 99761,424
ZCTA5 99762,4208
ZCTA5 99763,579
ZCTA5 99764,316
ZCTA5 99765,276
ZCTA5 99766,668
ZCTA5 99767,36
ZCTA5 99768,188
ZCTA5 99769,932
ZCTA5 99770,813
ZCTA5 99771,282
ZCTA5 99772,594
ZCTA5 99773,280
ZCTA5 99774,10
ZCTA5 99775,1386
ZCTA5 99776,128
ZCTA5 99777,243
ZCTA5 99778,227
ZCTA5 99780,1617
ZCTA5 99781,164
ZCTA5 99782,513
ZCTA5 99783,159
ZCTA5 99784,173
ZCTA5 99785,421
ZCTA5 99786,299
ZCTA5 99788,119
ZCTA5 99789,395
ZCTA5 99790,7
ZCTA5 99791,172
ZCTA5 99801,30179
ZCTA5 99820,540
ZCTA5 99824,2255
ZCTA5 99825,89
ZCTA5 99826,386
ZCTA5 99827,2599
ZCTA5 99829,828
ZCTA5 99830,635
ZCTA5 99832,94
ZCTA5 99833,3275
ZCTA5 99835,8810
ZCTA5 99836,60
ZCTA5 99840,1038
ZCTA5 99841,147
ZCTA5 99901,13768
ZCTA5 99903,20
ZCTA5 99918,174
ZCTA5 99919,660
ZCTA5 99921,1971
ZCTA5 99922,306
ZCTA5 99923,0
ZCTA5 99925,901
ZCTA5 99926,1684
ZCTA5 99927,59
ZCTA5 99929,2455
ZCTA5 99761,424
ZCTA5 99762,4208
ZCTA5 99763,579
ZCTA5 99764,316
ZCTA5 99765,276
ZCTA5 99766,668
ZCTA5 99767,36
ZCTA5 99768,188
ZCTA5 99769,932
ZCTA5 99770,813
ZCTA5 99771,282
ZCTA5 99772,594
ZCTA5 99773,280
ZCTA5 99774,10
ZCTA5 99775,1386
ZCTA5 99776,128
ZCTA5 99777,243
ZCTA5 99778,227
ZCTA5 99780,1617
ZCTA5 99781,164
ZCTA5 99782,513
ZCTA5 99783,159
ZCTA5 99784,173
ZCTA5 99785,421
ZCTA5 99786,299
ZCTA5 99788,119
ZCTA5 99789,395
ZCTA5 99790,7
ZCTA5 99791,172
ZCTA5 99801,30179
ZCTA5 99820,540
ZCTA5 99824,2255
ZCTA5 99825,89
ZCTA5 99826,386
ZCTA5 99827,2599
ZCTA5 99829,828
ZCTA5 99830,635
ZCTA5 99832,94
ZCTA5 99833,3275
ZCTA5 99835,8810
ZCTA5 99836,60
ZCTA5 99840,1038
ZCTA5 99841,147
ZCTA5 99901,13768
ZCTA5 99903,20
ZCTA5 99918,174
ZCTA5 99919,660
ZCTA5 99921,1971
ZCTA5 99922,306
ZCTA5 99923,0
ZCTA5 99925,901
ZCTA5 99926,1684
ZCTA5 99927,59
ZCTA5 99929,2455
